brand,model,screen_size,color,harddisk,cpu,ram,OS,graphics,price
ASUS,Vivobook 14,14.0,Quiet Blue,256.0,Core i5,8.0,Windows 11 Home,Integrated,479.99
HP,HP Chromebook,16.0,Chalkboard Gray,32.0,AMD A Series,4.0,Chrome OS,Dedicated,94.98
LG,17Z90R-A.ADB9U1,17.0,Black,2.0,Intel Core i7,32.0,Windows 11 Home,Dedicated,2296.99
MSI,Stealth GS66 12UGS-025,15.6,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1699.0
ASUS,Vivobook 16X,16.0,Indie Black,1.0,Core i9,32.0,Windows 11 Home,"Integrated, Dedicated",1699.99
ASUS,VivoBook Pro 16,16.0,Quiet Blue,1.0,Core i9,16.0,Windows 11 Home,Dedicated,1484.99
Dell,Latitude 5000,14.0,Black,512.0,Core i5,16.0,Windows 11 Pro,Iris Xe Graphics,1666.4
ASUS,FX707ZC-ES53,17.3,Mecha Gray,512.0,Core i5,16.0,Windows 11 Home,Dedicated,873.0
HP,HP 15,15.6,Silver,256.0,Core i5,12.0,Windows 11 S,Integrated,503.58
ROKC,Vector GP66 12UGS-267,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,Integrated,459.99
ROKC,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,639.99
Microsoft,Surface Laptop Go 2,12.45,Platinum,256.0,Intel Core i5,8.0,Windows 11 Home,Integrated,529.0
HP,Vector GP66 12UGS-267,14.0,Rose Gold,64.0,Celeron N,8.0,Windows 11,Integrated,299.0
Lenovo,"Lenovo 14"" Laptop",14.0,Blue,512.0,Intel Core i7,16.0,Windows 11,Integrated,535.99
Lenovo,L14,14.0,Platinum Grey,128.0,Pentium,4.0,Windows 11 S,Integrated,191.87
MSI,GF63 Thin,15.6,Black,256.0,Unknown,8.0,Windows 10,Dedicated,600.51
Apple,MacBook Pro,16.0,Space Gray,1.0,Others,32.0,Mac OS,Dedicated,3059.0
SAMSUNG,NP964XFG-KC1US,16.0,Graphite,512.0,Intel Core i7,32.0,Windows 11 Pro,Integrated,1939.99
ASUS,ASUS Chromebook CX1,15.6,Silver,64.0,Celeron N3350,8.0,Chrome OS,Integrated,247.05
MSI,Stealth GS66 12UGS-025,15.6,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1699.0
DELL,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,899.99
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1599.0
acer,CP513-1H-S338,13.3,Silver,64.0,Snapdragon,8.0,Chrome OS,Integrated,424.46
Razer,Blade 16,16.0,Mercury,1.0,Intel Core i9,32.0,Windows 11,Dedicated,3611.89
HP,HP ENVY,15.0,Black,1.0,Ryzen 5,32.0,Windows 11,Integrated,685.0
LG,16T90Q-K.AAG6U1,16.0,Green,512.0,Core i5,16.0,Windows 11 Home,Intel XE,1284.93
HP,Pavilion x360,14.0,Natural Silver,256.0,Core i5,8.0,Windows 10 Home,Integrated,570.0
HP,HP Laptop 17-cn0025nr,17.3,Natural silver,256.0,Intel Core i5-1135G7,8.0,Windows 11 Home,Integrated,576.99
Lenovo,ThinkPad X1 Carbon Gen 11 Laptop PC,14.0,Touchscreen,1.0,Core i7 Family,32.0,Windows 11 Pro,Integrated,1949.99
LG,16Z90RS-K.ADW8U1,16.0,Dynamic White,1.0,Intel Core i7,32.0,Windows 11 Home,Integrated,1757.57
HP,"HP 17.3""",17.3,Black,1.0,Core i3,16.0,Windows 11,Integrated,557.0
ROKC,Vector GP66 12UGS-267,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,Integrated,459.99
ROKC,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,639.99
MSI,Vector GP77 13VG-096US,17.3,Cosmo Gray,1.0,Core i9,32.0,Windows 11 Pro,Dedicated,1999.99
MSI,Katana 17 B13VFK-835US,17.3,Black,512.0,Core i7,32.0,Windows 11 Home,Dedicated,1399.0
Lenovo,Thinkpad T480,14.0,Black,256.0,Core i5,16.0,Windows 10 Pro,Integrated,219.0
ASUS,ProArt StudioBook 16,16.0,Mineral Black,32.0,Core i9,32.0,Windows 11 Home,Dedicated,2199.0
ASUS,Zenbook Pro 14 Duo,14.5,Tech Black,1.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,2299.99
ASUS,VivoBook 16,16.0,Indie Black,512.0,Ryzen 5,8.0,Windows 11 Home,Integrated,561.0
Lenovo,"Lenovo 14"" Laptop",14.0,Gray,256.0,Pentium,4.0,Windows 11,Integrated,181.99
MSI,Vector GP68HX 13VH-098US,16.0,Cosmo Gray,1.0,Core i9,16.0,Windows 11 Home,Dedicated,2091.05
ASUS,ASUS ZenBook Pro 16,16.0,Tech Black,2.0,Core i9,32.0,Windows 11 Pro,RTX 3060,2499.0
MSI,Stealth GS66 12UGS-025,15.6,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1699.0
DELL,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,899.99
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1599.0
HP,Chromebook 11a,11.6,Ash Gray,512.0,MediaTek MT8183,4.0,Chrome OS,Integrated,160.0
ASUS,ASUS VivoBook Go 14,14.0,Quiet Blue,64.0,Celeron,4.0,Windows 11 Home S,Integrated,231.85
HP,HP Pavilion,14.0,Gold,256.0,Intel Core i5-1135G7,8.0,Windows 11,Integrated,514.99
ASUS,ASUS ZenBook Pro Duo 15,15.6,Celestial Blue,1.0,Core i9,32.0,Windows 10 Pro,RTX 3060,2849.0
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i3,32.0,Windows 11,Integrated,579.99
Asus,ASUS BR1100,11.6,Dark Grey,64.0,Celeron,4.0,Windows 10 Pro,Integrated,279.99
Lenovo,Lenovo Ideapad,15.6,Gray,256.0,Intel Core i5-1135G7,12.0,Windows 11 Home,Integrated,561.99
Lenovo,Lenovo Yoga 7i,16.0,Gray,256.0,Intel Core i5,8.0,Windows 11 Home,Integrated,682.0
ROKC,Vector GP66 12UGS-267,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,Integrated,459.99
ROKC,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,639.99
Dell,Inspiron 14 5425,14.0,Pebble Green,512.0,AMD Ryzen 7,8.0,Windows 11 Pro,AMD Radeon Graphics,542.95
LENOVO,ThinkPad,14.0,Black,512.0,Intel Core i7,16.0,Windows 10 Pro,Integrated,1249.0
SAMSUNG,Galaxy Chromebook,13.3,Fiesta Red,256.0,Core i5-10210U,8.0,Chrome OS,Integrated,643.0
